atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
5.00000e-04 8.82069e-05 4.18951e-05 2.96511e-04 1.13388e-04 1.96195e-06 9.24940e-06 9.35558e-08 -2.41756e+01
2.31481e-05 4.37713e-06 4.14100e-05 1.33939e-05 5.24942e-06 1.37937e-06 6.13351e-06 2.23753e-05 6.50065e+00
4.62963e-06 8.13507e-07 3.97009e-05 4.39422e-07 1.04945e-06 2.31265e-06 1.04945e-06 1.89822e-05 1.37845e+00
0.00000e+00 0.00000e+00 3.69061e-05 -2.23349e-06 0.00000e+00 2.16599e-06 0.00000e+00 1.99433e-05 3.16092e+00
1.62037e-04 3.11026e-05 3.37347e-05 1.05969e-04 3.67003e-05 2.26084e-06 2.25272e-05 1.31174e-05 4.30355e-01
6.01852e-05 1.12984e-05 3.10502e-05 3.73528e-05 1.36258e-05 2.29447e-06 9.11163e-06 1.67319e-05 1.38045e+00
4.62963e-06 7.89156e-07 2.98187e-05 -1.73031e-07 1.04770e-06 2.96045e-06 1.04770e-06 2.10589e-05 1.35424e+00
1.54861e-03 3.35114e-04 2.89846e-05 3.61411e-04 3.50306e-04 2.64890e-06 1.72173e-05 1.27312e-05 -3.13476e+00
0.00000e+00 0.00000e+00 3.88512e-05 5.09702e-04 0.00000e+00 2.56433e-06 5.33559e-06 2.06282e-05 -1.54846e+00
7.40741e-05 1.52530e-05 8.95356e-05 2.46589e-04 1.67410e-05 3.32838e-06 8.14486e-06 2.61512e-05 1.81521e+00
5.16204e-04 1.24627e-04 1.23685e-04 2.94058e-04 1.16619e-04 2.03885e-06 3.20702e-05 1.00247e-05 -1.15507e+00
3.26389e-04 8.33686e-05 1.49868e-04 1.85535e-04 7.36890e-05 3.00930e-06 1.21187e-06 2.22496e-05 -4.00005e-01
3.26389e-04 8.44720e-05 2.07306e-04 3.39707e-04 7.36729e-05 2.19879e-06 7.45361e-06 1.85707e-05 -1.01462e+00
1.62037e-05 3.33812e-06 2.11331e-04 8.19069e-05 3.65569e-06 3.04515e-06 3.13643e-06 2.00940e-05 -6.33961e-01
5.09259e-05 1.16729e-05 1.68442e-04 4.96171e-05 1.14849e-05 2.19617e-06 6.79136e-06 1.90577e-05 2.08094e-02
4.16667e-05 8.34860e-06 1.51230e-04 2.44679e-05 9.39267e-06 3.00354e-06 9.58917e-06 1.71553e-05 -9.93684e-01
4.62963e-06 9.20825e-07 1.31887e-04 -3.33440e-08 1.04317e-06 3.17091e-06 1.04317e-06 2.07823e-05 3.04637e-01
9.25926e-06 1.79792e-06 1.12036e-04 2.30610e-06 2.08614e-06 2.96475e-06 2.08614e-06 2.16814e-05 1.73171e+00
0.00000e+00 0.00000e+00 9.34693e-05 -3.21006e-06 0.00000e+00 3.19666e-06 0.00000e+00 2.51171e-05 1.33754e-01
1.43519e-04 3.12247e-05 7.77172e-05 9.52729e-05 3.23289e-05 3.08825e-06 8.73187e-06 2.02423e-05 -1.72539e+00
2.31481e-06 4.31972e-07 6.55670e-05 -9.92623e-07 5.21385e-07 2.30782e-06 5.71627e-06 1.84512e-05 -9.91951e-01
3.47222e-05 6.33129e-06 5.77256e-05 1.70585e-05 7.82003e-06 3.46176e-06 7.80412e-06 2.31283e-05 -5.31607e-01
4.62963e-06 8.34036e-07 5.12761e-05 -6.50902e-08 1.04257e-06 2.81607e-06 1.04257e-06 2.18608e-05 4.72133e-01
2.31481e-06 4.13531e-07 4.54838e-05 -1.53567e-06 5.21235e-07 2.87547e-06 5.21235e-07 2.17248e-05 1.58879e-01
0.00000e+00 0.00000e+00 4.00487e-05 -4.20864e-06 0.00000e+00 4.20554e-06 0.00000e+00 2.86749e-05 -6.93994e-01
