Date-Time wind dlwrf dswrf tas shum pres ppt
01/01/1998-00 0.7538356 431.7179 0.00000 298.8170 0.01976276 100686.8 0.0000000
01/01/1998-03 0.6703207 431.8529 0.00000 298.1845 0.01927422 100706.9 0.0000000
01/01/1998-06 0.5661793 422.4823 0.00000 298.2713 0.01970072 100750.3 0.0000000
01/01/1998-09 0.4414113 422.3122 56.40269 299.0773 0.02090404 100817.1 0.0000000
01/01/1998-12 0.4398297 428.2451 366.76050 301.2569 0.02394607 100808.8 0.0000000
01/01/1998-15 0.5614344 427.5436 592.73050 304.8100 0.02903615 100725.2 0.0000000
01/01/1998-18 0.6539196 434.6883 383.02190 304.7809 0.02792519 100665.8 1.0032740
01/01/1998-21 0.7172849 435.4367 100.64910 301.1696 0.02217701 100630.5 0.0000000
01/02/1998-00 0.7343444 418.1626 0.00000 299.1594 0.01965671 100626.4 0.0000000
01/02/1998-03 0.7050977 418.5025 0.00000 297.3899 0.01786209 100652.8 0.0000000
01/02/1998-06 0.6550164 413.7057 0.00000 296.8593 0.01768525 100722.5 0.0000000
01/02/1998-09 0.5841002 413.5678 55.82090 297.5677 0.01838648 100835.6 0.0000000
01/02/1998-12 0.7556192 425.1062 405.50480 300.1437 0.02084828 100811.0 0.0000000
01/02/1998-15 1.1695730 424.2291 668.42210 304.5873 0.02695150 100648.8 0.0000000
01/02/1998-18 1.2589270 439.5856 396.53100 305.1386 0.02837873 100573.0 2.3933510
01/02/1998-21 1.0236790 440.2589 77.79285 301.7973 0.02363576 100583.6 0.0000000
01/03/1998-00 0.9073446 416.6657 0.00000 299.0653 0.02018781 100572.8 0.0000000
01/03/1998-03 0.9099221 417.0624 0.00000 297.0817 0.01793729 100540.6 0.0000000
01/03/1998-06 0.8801603 408.6439 0.00000 296.4634 0.01723256 100574.5 0.0000000
01/03/1998-09 0.8180591 408.4992 33.86984 297.2104 0.01800583 100674.7 0.0000000
01/03/1998-12 0.9014445 422.5534 377.52230 300.0647 0.02140191 100648.2 0.7977838
01/03/1998-15 1.1303160 421.5925 657.33160 305.0264 0.02815228 100495.1 0.0000000
01/03/1998-18 1.1504330 433.2812 428.05030 305.7833 0.02832839 100458.4 0.0000000
01/03/1998-21 0.9617935 433.9788 114.37110 302.3352 0.02311634 100538.1 0.0000000
01/04/1998-00 0.8073319 423.1996 0.00000 299.1638 0.01978086 100582.2 0.0000000
01/04/1998-03 0.6870478 423.5723 0.00000 297.2350 0.01787747 100590.9 0.0000000
01/04/1998-06 0.5140340 418.1392 0.00000 296.9214 0.01751030 100622.8 0.0000000
01/04/1998-09 0.2882905 417.8612 29.47376 298.2231 0.01915661 100677.9 0.0000000
01/04/1998-12 0.3527501 429.9019 360.91170 300.9392 0.02309167 100630.2 0.0000000
01/04/1998-15 0.7074128 429.0751 634.46510 305.0698 0.02938713 100479.6 0.0000000
01/04/1998-18 0.8544097 441.6580 395.60310 305.5952 0.02949413 100417.5 0.0000000
01/04/1998-21 0.7937408 442.3020 92.57604 302.5153 0.02441886 100443.8 0.0000000
01/05/1998-00 0.6655285 424.8024 0.00000 299.9390 0.02112252 100486.0 0.0000000
01/05/1998-03 0.4697725 425.2654 0.00000 297.5725 0.01851904 100544.0 0.0000000
01/05/1998-06 0.3754967 425.8773 0.00000 296.9389 0.01806841 100622.6 0.0000000
01/05/1998-09 0.3827013 425.6548 29.37794 298.0382 0.01944114 100721.8 0.0000000
01/05/1998-12 0.4625909 430.8681 354.73160 300.6965 0.02281789 100684.9 12.6678400
01/05/1998-15 0.6151655 430.0167 623.28730 304.9137 0.02922700 100511.6 4.6416510
01/05/1998-18 0.6288445 439.2946 378.31030 305.2013 0.02967220 100453.7 1.5593050
01/05/1998-21 0.5036278 440.0472 80.37658 301.5594 0.02384672 100511.0 0.0000000
